Upper Tier Local Authority District code (2024),Upper Tier Local Authority District name (2024),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD25 - Extent ,IMD25 - Rank of extent ,IMD25 - Local concentration ,IMD25 - Rank of local concentration 
E06000053,Isles of Scilly,11924,130,12.65,139,0,131,0,149,11924,153
E06000054,Wiltshire,11989.35,129,13.608,132,0.0065,124,0.0287,138,25105.87,140
E06000055,Bedford,16413.2,95,19.747,94,0.0427,91,0.1528,86,30589.04,82
E06000056,Central Bedfordshire,11409.7,134,13.102,134,0,131,0.0267,139,25196.55,138
E06000057,Northumberland,17154.36,88,21.963,83,0.11,62,0.2014,74,32003.41,59
E06000058,"Bournemouth, Christchurch and Poole",14728.21,109,17.513,112,0.05,86,0.1039,107,29777.21,97
E06000059,Dorset,14451.08,111,16.268,119,0.0224,107,0.0404,134,26390.71,132
E06000060,Buckinghamshire,10315.59,140,11.921,141,0,131,0.0209,142,24636.59,141
E06000061,North Northamptonshire,15417.41,105,18.472,103,0.0439,89,0.1289,97,29819.72,95
E06000062,West Northamptonshire,13988.3,114,16.646,117,0.021,108,0.1016,108,29073.38,104
E06000063,Cumberland,18871.62,67,23.807,69,0.1017,66,0.2327,67,31894.38,61
E06000064,Westmorland and Furness,14870.31,107,17.836,105,0.0634,78,0.0904,116,30499.01,84
E06000065,North Yorkshire,13523.03,118,15.799,120,0.0264,103,0.0647,124,28429.79,114
E06000066,Somerset,16776.04,93,19.137,97,0.0206,109,0.089,117,29008.44,106
